WantedVehMake,WantedVehModel,WantedVehicleTrim,WantedVehYear,WantedCar,,ID,StoreID,ProspectStatus,ProspectSubStatus
TOYOTA,Highlander Hybrid,,2021,2021 TOYOTA Highlander Hybrid,,36007797,58,Active,Sold
,,,,  ,,36007260,20271,Bad,No intent to buy
FORD,F-150,Raptor 4WD SuperCrew 5.5' Box,2018,2018 FORD F-150,,36003737,184,Active,Sold
Toyota,Tacoma 4WD,TRD Off Road Double Cab 5' Bed V6 AT (Natl),2021,2021 Toyota Tacoma 4WD,,36002302,58,Active,Pending F&I
Honda,Civic Sedan,LX CVT,2017,2017 Honda Civic Sedan,,36002117,58,Active,Sold
,,,,  ,,36000624,58,Active,Unqualified
,,,,  ,,36051348,769,Sold,Delivered
Kia,Sorento,LX AWD,2017,2017 Kia Sorento,,36051000,58,Active,Sold
Toyota,Tacoma 4WD,TRD Off Road Double Cab 5' Bed V6 AT (Natl),2020,2020 Toyota Tacoma 4WD,,36050911,58,Active,Sold
Jeep,Grand Cherokee,4WD 4dr Limited,2015,2015 Jeep Grand Cherokee,,36049487,58,Active,Sold
Porsche,Cayenne,S Coupe AWD,2020,2020 Porsche Cayenne,,36049331,184,Active,Sold
Chevrolet,Camaro,2dr Cpe SS w/1SS,2014,2014 Chevrolet Camaro,,36048834,58,Active,Lost
Ford,Escape,4WD 4dr XLT,2012,2012 Ford Escape,,36040684,58,Active,Up/Contacted
Lexus,LX 570,4WD 4dr,2013,2013 Lexus LX 570,,36033535,184,Active,Lost
Toyota,4Runner,SR5 4WD (Natl),2017,2017 Toyota 4Runner,,36032274,58,Active,Sold
Porsche,911,GT3,2021,2021 Porsche 911,,36031509,184,Active,Up/Contacted
Toyota,RAV4,Hybrid XSE AWD (Natl),2021,2021 Toyota RAV4,,36030687,58,Active,Sold
,,,,  ,,36030026,20271,Bad,Duplicate lead
Honda,Accord Coupe,EX-L V6 Auto,2017,2017 Honda Accord Coupe,,36029346,183,Active,Lost
BMW,330e,330e iPerformance Plug-In Hybrid,2017,2017 BMW 330e,,36029315,183,Active,Sold
Porsche,Cayenne,AWD,2021,2021 Porsche Cayenne,,36026300,184,Active,Demo Vehicle
Toyota,Tacoma 4WD,TRD Sport Double Cab 5' Bed V6 AT (Natl),2019,2019 Toyota Tacoma 4WD,,36075625,58,Active,Lost
,,,,  ,,36073237,769,Sold,Delivered
Toyota,Camry,SE Auto (Natl),2018,2018 Toyota Camry,,36072974,58,Active,Demo Vehicle
,,,,  ,,36071795,20271,Lost,Lead process completed
,,,,  ,,36071528,20330,Lost,Out of market
FORD,THUNDERBIRD,2dr Conv w/Hardtop Premium,2003,2003 FORD THUNDERBIRD,,36068202,184,Active,Sold
Porsche,Cayenne,E-Hybrid AWD,2021,2021 Porsche Cayenne,,36067041,184,Active,Sold
Porsche,911,Carrera Coupe,2021,2021 Porsche 911,,36066218,184,Active,Sold
Lexus,LX 570,4WD 4dr,2013,2013 Lexus LX 570,,36064784,184,Active,Lost
,,,,  ,,36059652,769,Sold,Delivered
TOYOTA,Prius Prime,XLE (Natl),2020,2020 TOYOTA Prius Prime,,36058019,58,Active,Sold
